	指标	地区	年	数据	行业	行业指标
0	制造业私营企业和个体就业人员	北京市	2018		制造业	人员
1	制造业私营企业和个体就业人员	北京市	2017	55.2542	制造业	人员
2	制造业私营企业和个体就业人员	北京市	2016	53.9461	制造业	人员
3	制造业私营企业和个体就业人员	北京市	2015	55.2288	制造业	人员
4	制造业私营企业和个体就业人员	北京市	2014	55.6678	制造业	人员
5	制造业私营企业和个体就业人员	北京市	2013	42.3255	制造业	人员
6	制造业私营企业和个体就业人员	北京市	2012	43.7303	制造业	人员
7	制造业私营企业和个体就业人员	北京市	2011	45.5991	制造业	人员
8	制造业私营企业和个体就业人员	北京市	2010	45.9446	制造业	人员
9	制造业私营企业和个体就业人员	北京市	2009	45.0145	制造业	人员
10	制造业私营企业和个体就业人员	天津市	2018		制造业	人员
11	制造业私营企业和个体就业人员	天津市	2017	44.099	制造业	人员
12	制造业私营企业和个体就业人员	天津市	2016	44.4338	制造业	人员
13	制造业私营企业和个体就业人员	天津市	2015	42.8899	制造业	人员
14	制造业私营企业和个体就业人员	天津市	2014	41.248000000000005	制造业	人员
15	制造业私营企业和个体就业人员	天津市	2013	40.5221	制造业	人员
16	制造业私营企业和个体就业人员	天津市	2012	40.8534	制造业	人员
17	制造业私营企业和个体就业人员	天津市	2011	41.5775	制造业	人员
18	制造业私营企业和个体就业人员	天津市	2010	40.9294	制造业	人员
19	制造业私营企业和个体就业人员	天津市	2009	39.615	制造业	人员
20	制造业私营企业和个体就业人员	河北省	2018		制造业	人员
21	制造业私营企业和个体就业人员	河北省	2017	232.5954	制造业	人员
22	制造业私营企业和个体就业人员	河北省	2016	205.755	制造业	人员
23	制造业私营企业和个体就业人员	河北省	2015	177.0076	制造业	人员
24	制造业私营企业和个体就业人员	河北省	2014	148.5572	制造业	人员
25	制造业私营企业和个体就业人员	河北省	2013	145.2587	制造业	人员
26	制造业私营企业和个体就业人员	河北省	2012	150.5577	制造业	人员
27	制造业私营企业和个体就业人员	河北省	2011	159.3101	制造业	人员
